pose_id,x,y,theta
0,0.000000000,0.000000000,0.057080782
1,0.875000000,0.050000000,0.057080782
2,1.312500000,0.075000000,0.057080782
3,2.187500000,0.125000000,0.057080782
4,3.062500000,0.175000000,0.057080782
5,3.500000000,0.200000000,0.057080782
6,4.375000000,0.250000000,0.057080782
7,5.250000000,0.300000000,0.057080782
8,6.125000000,0.350000000,0.057080782
9,6.562500000,0.375000000,0.164357538
10,7.406250000,0.562500000,0.300089177
11,8.218750000,0.887500000,0.380506377
12,8.625000000,1.050000000,0.380506377
13,9.437500000,1.375000000,0.380506377
14,10.250000000,1.700000000,0.380506377
15,10.656250000,1.862500000,0.380506377
16,11.468750000,2.187500000,0.380506377
17,12.281250000,2.512500000,0.380506377
18,12.687500000,2.675000000,0.380506377
19,13.500000000,3.000000000,0.634716562
20,14.062500000,3.687500000,0.885066816
21,14.625000000,4.375000000,0.885066816
22,14.906250000,4.718750000,0.885066816
23,15.468750000,5.406250000,0.885066816
24,16.031250000,6.093750000,0.885066816
25,16.312500000,6.437500000,0.885066816
26,16.875000000,7.125000000,0.885066816
27,17.437500000,7.812500000,0.885066816
28,17.718750000,8.156250000,1.215160442
29,17.843750000,8.906250000,1.690225253
30,17.531250000,9.718750000,1.937970161
31,17.375000000,10.125000000,1.937970161
32,17.062500000,10.937500000,1.937970161
33,16.750000000,11.750000000,1.937970161
34,16.593750000,12.156250000,1.937970161
35,16.281250000,12.968750000,1.937970161
36,15.968750000,13.781250000,1.937970161
37,15.656250000,14.593750000,1.937970161
38,15.500000000,15.000000000,2.482370502
39,14.676470588,15.352941176,2.736700867
40,13.852941176,15.705882353,2.736700867
41,13.441176471,15.882352941,2.736700867
42,12.617647059,16.235294118,2.736700867
43,11.794117647,16.588235294,2.736700867
44,11.382352941,16.764705882,2.736700867
45,10.558823529,17.117647059,2.736700867
46,9.735294118,17.470588235,2.736700867
47,9.323529412,17.647058824,2.736700867
48,8.500000000,18.000000000,-3.128110324
49,7.687500000,17.625000000,-2.709184878
50,6.875000000,17.250000000,-2.709184878
51,6.468750000,17.062500000,-2.709184878
52,5.656250000,16.687500000,-2.709184878
53,4.843750000,16.312500000,-2.709184878
54,4.437500000,16.125000000,-2.709184878
55,3.625000000,15.750000000,-2.709184878
56,2.812500000,15.375000000,-2.709184878
57,2.406250000,15.187500000,-2.581652856
58,1.710526316,14.684210526,-2.414149993
59,1.131578947,14.052631579,-2.312743595
60,0.842105263,13.736842105,-2.312743595
61,0.263157895,13.105263158,-2.312743595
62,-0.315789474,12.473684211,-2.312743595
63,-0.894736842,11.842105263,-2.312743595
64,-1.184210526,11.526315789,-2.312743595
65,-1.763157895,10.894736842,-2.312743595
66,-2.342105263,10.263157895,-2.312743595
67,-2.631578947,9.947368421,-2.312743595
68,-3.210526316,9.315789474,-2.152149250
69,-3.535714286,8.571428571,-1.869295258
70,-3.571428571,8.142857143,-1.653937559
71,-3.642857143,7.285714286,-1.653937559
72,-3.714285714,6.428571429,-1.653937559
73,-3.750000000,6.000000000,-1.653937559
74,-3.821428571,5.142857143,-1.653937559
75,-3.892857143,4.285714286,-1.653937559
76,-3.964285714,3.428571429,-1.653937559
77,-4.000000000,3.000000000,-0.973970423
78,-3.333333333,2.500000000,-0.643501109
79,-2.666666667,2.000000000,-0.643501109
80,-2.333333333,1.750000000,-0.643501109
81,-1.666666667,1.250000000,-0.643501109
82,-1.000000000,0.750000000,-0.643501109
83,-0.666666667,0.500000000,-0.643501109
84,0.000000000,0.000000000,-0.584698651
85,0.733333333,-0.426666667,-0.526943227
86,1.100000000,-0.640000000,-0.526943227
87,1.833333333,-1.066666667,-0.526943227
88,2.566666667,-1.493333333,-0.526943227
89,3.300000000,-1.920000000,-0.526943227
90,3.666666667,-2.133333333,-0.526943227
91,4.400000000,-2.560000000,-0.526943227
92,5.133333333,-2.986666667,-0.526943227
93,5.500000000,-3.200000000,-0.064774122
94,6.366666667,-3.066666667,0.152649328
95,7.233333333,-2.933333333,0.152649328
96,7.666666667,-2.866666667,0.152649328
97,8.533333333,-2.733333333,0.152649328
98,9.400000000,-2.600000000,0.152649328
99,9.833333333,-2.533333333,0.152649328
100,10.700000000,-2.400000000,0.152649328
101,11.566666667,-2.266666667,0.152649328
102,12.000000000,-2.200000000,0.471310294
103,12.722222222,-1.677777778,0.626046522
104,13.444444444,-1.155555556,0.626046522
105,14.166666667,-0.633333333,0.626046522
106,14.527777778,-0.372222222,0.626046522
107,15.250000000,0.150000000,0.626046522
108,15.972222222,0.672222222,0.626046522
109,16.333333333,0.933333333,0.626046522
110,17.055555556,1.455555556,0.626046522
111,17.777777778,1.977777778,0.626046522
112,18.138888889,2.238888889,0.804653986
113,18.676470588,2.911764706,1.033981574
114,19.029411765,3.735294118,1.165904541
115,19.205882353,4.147058824,1.165904541
116,19.558823529,4.970588235,1.165904541
117,19.911764706,5.794117647,1.165904541
118,20.264705882,6.617647059,1.165904541
119,20.441176471,7.029411765,1.165904541
120,20.794117647,7.852941176,1.165904541
121,21.147058824,8.676470588,1.165904541
122,21.323529412,9.088235294,1.473700016
123,21.263157895,9.868421053,1.909288087
124,20.789473684,10.605263158,2.142133807
125,20.552631579,10.973684211,2.142133807
126,20.078947368,11.710526316,2.142133807
127,19.605263158,12.447368421,2.142133807
128,19.368421053,12.815789474,2.142133807
129,18.894736842,13.552631579,2.142133807
130,18.421052632,14.289473684,2.142133807
131,17.947368421,15.026315789,2.142133807
132,17.710526316,15.394736842,2.142133807
133,17.236842105,16.131578947,2.336878711
134,16.575000000,16.575000000,2.696515734
135,16.150000000,16.650000000,2.966920455
136,15.300000000,16.800000000,2.966920455
137,14.450000000,16.950000000,2.966920455
138,14.025000000,17.025000000,2.966920455
139,13.175000000,17.175000000,2.966920455
140,12.325000000,17.325000000,2.966920455
141,11.900000000,17.400000000,2.966920455
142,11.050000000,17.550000000,2.966920455
143,10.200000000,17.700000000,2.966920455
144,9.350000000,17.850000000,2.966920455
145,8.925000000,17.925000000,-2.961506974
146,8.235294118,17.647058824,-2.462600161
147,7.705882353,16.941176471,-2.214297436
148,7.441176471,16.588235294,-2.214297436
149,6.911764706,15.882352941,-2.214297436
150,6.382352941,15.176470588,-2.214297436
151,6.117647059,14.823529412,-2.214297436
152,5.588235294,14.117647059,-2.214297436
153,5.058823529,13.411764706,-2.214297436
154,4.794117647,13.058823529,-2.214297436
155,4.264705882,12.352941176,-1.942897262
156,4.230769231,11.615384615,-1.294282380
157,4.692307692,10.846153846,-1.030376827
158,4.923076923,10.461538462,-1.030376827
159,5.384615385,9.692307692,-1.030376827
160,5.846153846,8.923076923,-1.030376827
161,6.076923077,8.538461538,-1.030376827
162,6.538461538,7.769230769,-1.030376827
163,7.000000000,7.000000000,-0.674740942
164,7.433333333,7.053333333,0.122461057
