factor_index,kind,factor_id,label,pose_ids,raw_residual,normalized_norm,robust_weight
0,prior,0,prior(pose 0),[0],"[-0.02123602291736787, -0.08171720705404713, -0.028588100332776367]",0.6667306226713902,1.0
1,odometry,0,"odom(0,1)","[0, 1]","[-0.00809724516083421, 0.008503295514618866, 0.0049393620038915564]",0.39496852949721123,1.0
2,odometry,1,"odom(1,2)","[1, 2]","[-0.007643866977840363, 0.008571805626605306, 0.0038341752784138983]",0.35308456347633715,1.0
3,odometry,2,"odom(2,3)","[2, 3]","[-0.007391604577031252, 0.008607981288695821, 0.002024730494336602]",0.3019965809883986,1.0
4,odometry,3,"odom(3,4)","[3, 4]","[-0.007792355656611627, 0.008549792952082427, 1.0178079627110037e-05]",0.28239322529958405,1.0
5,odometry,4,"odom(4,5)","[4, 5]","[-0.007894239942578929, 0.008534426108368479, -0.0007744652508940852]",0.2862007394436483,1.0
6,odometry,5,"odom(5,6)","[5, 6]","[-0.0003645016050543015, 0.004340079880229712, 0.004474716482597341]",0.2778851205616695,1.0
7,odometry,6,"odom(6,7)","[6, 7]","[-5.9251665595616565e-05, 0.00434250547323458, 0.003484700336334079]",0.22994289492858538,1.0
8,odometry,7,"odom(7,8)","[7, 8]","[-0.0016186228494250443, 0.005322716156412624, 0.0021951998060005806]",0.19714676900028924,1.0
9,odometry,8,"odom(8,9)","[8, 9]","[-0.0018102921469772548, 0.005312571735594969, 0.0014950812344407538]",0.1761302306752272,1.0
10,odometry,9,"odom(9,10)","[9, 10]","[-0.0005996863432695676, 0.005357399415632964, 0.0002075499479512466]",0.15388898584293764,1.0
11,odometry,10,"odom(10,11)","[10, 11]","[-0.0011779273788865563, 0.002860876305380594, -0.0032064284632076223]",0.19715995203790584,1.0
12,odometry,11,"odom(11,12)","[11, 12]","[-0.0005012037309239936, 0.002893239438264611, -0.0035953336971621397]",0.21636254034257896,1.0
13,odometry,12,"odom(12,13)","[12, 13]","[-0.0006613700027372493, 0.0028879799076141563, -0.004266561899047172]",0.2512705886068766,1.0
14,odometry,13,"odom(13,14)","[13, 14]","[-0.000561823397065897, 0.0028913920446228467, -0.00487995851109968]",0.28359996648411295,1.0
15,odometry,14,"odom(14,15)","[14, 15]","[-0.005267552223929606, 0.002005515696580723, -0.005099040024993506]",0.30447249095693585,1.0
16,odometry,15,"odom(15,16)","[15, 16]","[-0.020696500218151392, -0.01733780838556665, 0.0038593481154558518]",0.6579969678873571,1.0
17,odometry,16,"odom(16,17)","[16, 17]","[-0.020299654352790797, -0.017414372804190732, 0.0081493661139449]",0.767306184953012,1.0
18,odometry,17,"odom(17,18)","[17, 18]","[-0.019907889573411497, -0.01748873989497271, 0.01033966588268509]",0.8430063470329588,1.0
19,odometry,18,"odom(18,19)","[18, 19]","[-0.020056420834229982, -0.017460292692532395, 0.014253177372626435]",1.0044207006382724,1.0
20,odometry,19,"odom(19,20)","[19, 20]","[-0.0312533695849333, -0.01451469700739172, 0.01669313240031478]",1.1640209424985957,1.0
21,odometry,20,"odom(20,21)","[20, 21]","[-0.002526048357691768, -0.007233195553681396, 0.01230449083303542]",0.7156146704080811,1.0
22,odometry,21,"odom(21,22)","[21, 22]","[-0.008713454434124301, -0.005729019576126617, 0.013033059337907105]",0.759047663667493,1.0
23,odometry,22,"odom(22,23)","[22, 23]","[-0.008413667602328978, -0.005800614658963191, 0.014548405442578627]",0.8391234733928276,1.0
24,odometry,23,"odom(23,24)","[23, 24]","[-0.016768158659779986, 0.01103066197146784, 0.009108613800231868]",0.6695868807122306,1.0
25,odometry,24,"odom(24,25)","[24, 25]","[-0.016155762390212824, 0.011180560968640896, 0.007819473727527448]",0.6140401274044075,1.0
26,odometry,25,"odom(25,26)","[25, 26]","[-0.0005691022360678755, 0.009263693119434088, 0.0018339509905804796]",0.2837987731337316,1.0
27,odometry,26,"odom(26,27)","[26, 27]","[-0.0007323092516947627, 0.009262606063806952, -0.00025382184219457926]",0.2653555569634387,1.0
