factor_index,kind,factor_id,label,pose_ids,raw_residual,normalized_norm,robust_weight
0,prior,0,prior(pose 0),[0],"[-0.007420412596425743, -0.08680424443838307, -0.028006781543977066]",0.6781551659144914,1.0
1,odometry,0,"odom(0,1)","[0, 1]","[-0.008793810893644949, 0.008397848269097747, 0.004965301949757972]",0.3990335573658236,1.0
2,odometry,1,"odom(1,2)","[1, 2]","[-0.008345346059125847, 0.008472598301290832, 0.003872972713446554]",0.35765773172429366,1.0
3,odometry,2,"odom(2,3)","[2, 3]","[-0.008095143344158062, 0.00851236392630689, 0.002086164997737505]",0.306996598831201,1.0
4,odometry,3,"odom(3,4)","[3, 4]","[-0.008490033914337114, 0.008449069531405645, 9.051858781461419e-05]",0.28658075768434255,1.0
5,odometry,4,"odom(4,5)","[4, 5]","[-0.008589055326990003, 0.00843265917465301, -0.0006779050431893197]",0.2895764905257445,1.0
6,odometry,5,"odom(5,6)","[5, 6]","[-0.00020423848517781007, 0.004163608669750678, 0.004454950673449254]",0.2746274268932763,1.0
7,odometry,6,"odom(6,7)","[6, 7]","[8.83194817613564e-05, 0.0041642988574105075, 0.0035058869249233737]",0.22824273666639572,1.0
8,odometry,7,"odom(7,8)","[7, 8]","[-0.0013838753108517121, 0.005135085733129277, 0.0022606723723694877]",0.1947626089306119,1.0
9,odometry,8,"odom(8,9)","[8, 9]","[-0.0015680009735199452, 0.005126423665436933, 0.0015842721689178774]",0.1732416554911937,1.0
10,odometry,9,"odom(9,10)","[9, 10]","[-0.0003994553232825604, 0.005163074677244063, 0.000344090900032068]",0.14892706337939718,1.0
11,odometry,10,"odom(10,11)","[10, 11]","[-0.00018830876523767692, 0.0023567153119880557, -0.00305481073554148]",0.18261366596824707,1.0
12,odometry,11,"odom(11,12)","[11, 12]","[0.00036648182196308277, 0.002353274312223347, -0.0033680802207967098]",0.19894061940894242,1.0
13,odometry,12,"odom(12,13)","[12, 13]","[0.00023734311820855503, 0.0023559952548039206, -0.003918910327576519]",0.22792677256790336,1.0
14,odometry,13,"odom(13,14)","[13, 14]","[0.0003204752316051662, 0.002354385045751299, -0.004419506021316799]",0.2546429048802287,1.0
15,odometry,14,"odom(14,15)","[14, 15]","[-0.0043137255678786235, 0.0014561921277282674, -0.004577025470525964]",0.2693332602209502,1.0
16,odometry,15,"odom(15,16)","[15, 16]","[-0.017380648568615875, -0.015969034985672266, 0.003906815156943466]",0.5959392600949032,1.0
17,odometry,16,"odom(16,17)","[16, 17]","[-0.017016980699725903, -0.016033138193125858, 0.007865854295449282]",0.7046532531616102,1.0
18,odometry,17,"odom(17,18)","[17, 18]","[-0.01664530064094827, -0.016096995487230592, 0.009905316300086842]",0.7784202470439087,1.0
19,odometry,18,"odom(18,19)","[18, 19]","[-0.016764463096260118, -0.01607670345922628, 0.01351843446626777]",0.9316294886217846,1.0
20,odometry,19,"odom(19,20)","[19, 20]","[-0.02711676086163961, -0.013563326259203756, 0.015862747312853642]",1.0816103242423778,1.0
21,odometry,20,"odom(20,21)","[20, 21]","[-0.005607889909307273, -0.00566804121087782, 0.010555270716496867]",0.6168400221152643,1.0
22,odometry,21,"odom(21,22)","[21, 22]","[-0.01151557452783869, -0.004162950317221994, 0.01109120081898185]",0.6615585248743435,1.0
23,odometry,22,"odom(22,23)","[22, 23]","[-0.011276149806599411, -0.004269079092581943, 0.012202707373773158]",0.7186777996357211,1.0
24,odometry,23,"odom(23,24)","[23, 24]","[-0.021440215512257388, 0.007777858573633549, 0.00849722440196743]",0.6513011819150887,1.0
25,odometry,24,"odom(24,25)","[24, 25]","[-0.021018068025768666, 0.007964577248680965, 0.00750950028170605]",0.6098119128222258,1.0
26,odometry,25,"odom(25,26)","[25, 26]","[-0.004886553338826705, 0.00473373143422073, 0.0004170563072807276]",0.16347154347189705,1.0
27,odometry,26,"odom(26,27)","[26, 27]","[-0.004986362284212786, 0.004716634513057025, -0.0006296671175767266]",0.16614352261171592,1.0
28,odometry,27,"odom(27,28)","[27, 28]","[-0.005348871902000618, 0.004651049137322505, -0.0011476953225848519]",0.17658546353930185,1.0
29,odometry,28,"odom(28,29)","[28, 29]","[-0.0030793116235994233, 0.004696784838627371, -0.0020736042225730777]",0.18550925173264396,1.0
30,odometry,29,"odom(29,30)","[29, 30]","[0.002679767031968594, 0.00473679331386806, -0.0030346763084589945]",0.22161603676339398,1.0
31,odometry,30,"odom(30,31)","[30, 31]","[-0.01177462786720651, 0.0004523223056655777, 0.0016674798321569817]",0.23362532643945313,1.0
32,odometry,31,"odom(31,32)","[31, 32]","[-0.011795805560322337, 0.00035032778607025847, 0.0016075342533032888]",0.23253611302423657,1.0
33,odometry,32,"odom(32,33)","[32, 33]","[-0.01180154900229835, 0.00031696898012282225, 0.0015392826344107213]",0.2311639865856552,1.0
34,odometry,33,"odom(33,34)","[33, 34]","[-0.011816736769053926, 0.0002038742750012923, 0.001409582542601484]",0.22875057975323698,1.0
35,odometry,34,"odom(34,35)","[34, 35]","[-0.011816572928743052, 0.00020515302072234183, 0.0013752289360304815]",0.22810239388248646,1.0
36,odometry,35,"odom(35,36)","[35, 36]","[-0.010026047351050615, 0.002754665446619009, -0.003365003956933066]",0.2727141928405337,1.0
37,odometry,36,"odom(36,37)","[36, 37]","[-0.009935654698890128, 0.0028078472631537805, -0.0040211628237689645]",0.2982890496497409,1.0
38,odometry,37,"odom(37,38)","[37, 38]","[-0.00996028992211545, 0.0027934904913025325, -0.004365912563964347]",0.31304463658125303,1.0
39,odometry,38,"odom(38,39)","[38, 39]","[-0.0047085517303628865, 0.00452071390463471, -0.005639113608069124]",0.34951272424689184,1.0
40,odometry,39,"odom(39,40)","[39, 40]","[-0.0017040661354896791, 0.0048575846054776835, -0.0068070790189955765]",0.40402406004514135,1.0
41,odometry,40,"odom(40,41)","[40, 41]","[0.012530326791532542, 0.0053678581389250335, -0.0009398973140384292]",0.27955669866988486,1.0
42,odometry,41,"odom(41,42)","[41, 42]","[0.012658285999563201, 0.005318355091030021, -0.0022663584118642888]",0.30317002633321394,1.0
43,odometry,42,"odom(42,43)","[42, 43]","[-0.01117978634143646, 0.0043789096245459465, -0.015049535237164235]",0.8694882256112494,1.0
44,odometry,43,"odom(43,44)","[43, 44]","[-0.010905005335229812, 0.004490985129489991, -0.015516797850323893]",0.8938103702837624,1.0
45,odometry,44,"odom(44,45)","[44, 45]","[-0.010953054053431055, 0.004471669287021043, -0.016423363988373296]",0.9425883575569449,1.0
46,odometry,45,"odom(45,46)","[45, 46]","[-0.02355171788339805, -0.0041019037217239936, -0.008473849142154322]",0.6470899770791371,1.0
47,odometry,46,"odom(46,47)","[46, 47]","[-0.023424261627795484, -0.004219965787691078, -0.007900033660397376]",0.6233373486433885,1.0
48,odometry,47,"odom(47,48)","[47, 48]","[-0.038836596792155564, 0.0004045969799325311, 0.002879824959777455]",0.7241104141671447,1.0
49,odometry,48,"odom(48,49)","[48, 49]","[-0.035157193292558175, 0.006693882511422389, -3.9850084756931636e-05]",0.6672235674260647,1.0
50,odometry,49,"odom(49,50)","[49, 50]","[-0.031130490698977997, 0.009217136827536804, -0.0020572817569717294]",0.6346499880564077,1.0
51,odometry,50,"odom(50,51)","[50, 51]","[0.012453256154580428, 0.01097751174076251, 0.00992762119970303]",0.6736688142463912,1.0
52,odometry,51,"odom(51,52)","[51, 52]","[0.012155479219766119, 0.011031983039985304, 0.007496312118131954]",0.5671296179909594,1.0
53,odometry,52,"odom(52,53)","[52, 53]","[0.013291867076516528, 0.010815003526786923, 0.004964231089336302]",0.479526918072513,1.0
54,odometry,53,"odom(53,54)","[53, 54]","[0.01301125867797287, 0.010870579470652605, 0.003465409800788688]",0.43530964996417165,1.0
55,odometry,54,"odom(54,55)","[54, 55]","[0.013528286428648673, 0.010766382290946952, 0.0008554252747376978]",0.3967160786528688,1.0
56,odometry,55,"odom(55,56)","[55, 56]","[-0.005054362656628619, 0.007759975219898942, 0.0029961132196052453]",0.292075176215033,1.0
57,odometry,56,"odom(56,57)","[56, 57]","[0.0004625992526953171, 0.003352716641301094, 0.0024970483751252104]",0.16879405386922705,1.0
58,odometry,57,"odom(57,58)","[57, 58]","[0.0015957374421852188, 0.0032947548598992113, 0.001835131520030231]",0.1417656384581107,1.0
59,odometry,58,"odom(58,59)","[58, 59]","[0.00292444738664166, 0.0031422524807575083, 0.0011640084710564658]",0.12275699757831053,1.0
60,odometry,59,"odom(59,60)","[59, 60]","[0.00366851818379188, 0.0030112764059398956, 0.0009390799439894515]",0.12071881612823095,1.0
61,odometry,60,"odom(60,61)","[60, 61]","[0.0035328992113826674, -0.004978260239398036, 0.0036326359540463926]",0.25511896718074084,1.0
62,odometry,61,"odom(61,62)","[61, 62]","[0.0033033303884403287, -0.005004492628812019, 0.004892457889067892]",0.312936275448491,1.0
63,odometry,62,"odom(62,63)","[62, 63]","[0.0034282119810510325, -0.004990612481729974, 0.006073628089702687]",0.37157984466241256,1.0
64,odometry,63,"odom(63,64)","[63, 64]","[0.01145518461449141, -0.005747814254733266, 0.006543809675414014]",0.45001462377953705,1.0
